sektor,transaktionspost,kvartal,"Inkomster och utgifter samt kapitaltransaktioner (ENS2010), löpande priser, mnkr"
S11 Icke-finansiella bolag,"B1gm BNP, Bruttonationalprodukt till marknadspris",2024K4,..
S11 Icke-finansiella bolag,"IN1.REC Primära inkomster, tillgång",2024K1,160815
S11 Icke-finansiella bolag,"IN1.REC Primära inkomster, tillgång",2024K2,385611
S11 Icke-finansiella bolag,"IN1.REC Primära inkomster, tillgång",2024K3,311550
S11 Icke-finansiella bolag,"IN1.REC Primära inkomster, tillgång",2024K4,318770
S11 Icke-finansiella bolag,"IN1.PAY Primära inkomster, användning",2024K1,793414
S11 Icke-finansiella bolag,"IN1.PAY Primära inkomster, användning",2024K2,1147880
S11 Icke-finansiella bolag,"IN1.PAY Primära inkomster, användning",2024K3,941155
S11 Icke-finansiella bolag,"IN1.PAY Primära inkomster, användning",2024K4,956552
S11 Icke-finansiella bolag,"B5g BNI, Bruttonationalinkomst / primärinkomstsaldo, brutto",2024K1,304184
S11 Icke-finansiella bolag,"B5g BNI, Bruttonationalinkomst / primärinkomstsaldo, brutto",2024K2,233012
S11 Icke-finansiella bolag,"B5g BNI, Bruttonationalinkomst / primärinkomstsaldo, brutto",2024K3,293610
S11 Icke-finansiella bolag,"B5g BNI, Bruttonationalinkomst / primärinkomstsaldo, brutto",2024K4,398948
S11 Icke-finansiella bolag,D29-D39.PAY Övriga produktionsskatter minus övriga produktionssubventioner ,2024K1,84689
S11 Icke-finansiella bolag,D29-D39.PAY Övriga produktionsskatter minus övriga produktionssubventioner ,2024K2,94658
S11 Icke-finansiella bolag,D29-D39.PAY Övriga produktionsskatter minus övriga produktionssubventioner ,2024K3,92773
S11 Icke-finansiella bolag,D29-D39.PAY Övriga produktionsskatter minus övriga produktionssubventioner ,2024K4,84974
S11 Icke-finansiella bolag,B1nf Nettonationalprodukt (NNP) till faktorpris ,2024K1,658113
S11 Icke-finansiella bolag,B1nf Nettonationalprodukt (NNP) till faktorpris ,2024K2,701092
S11 Icke-finansiella bolag,B1nf Nettonationalprodukt (NNP) till faktorpris ,2024K3,629705
S11 Icke-finansiella bolag,B1nf Nettonationalprodukt (NNP) till faktorpris ,2024K4,749065
S11 Icke-finansiella bolag,"D3.REC Subventioner, tillgång",2024K1,13460
S11 Icke-finansiella bolag,"D3.REC Subventioner, tillgång",2024K2,10706
S11 Icke-finansiella bolag,"D3.REC Subventioner, tillgång",2024K3,10299
S11 Icke-finansiella bolag,"D3.REC Subventioner, tillgång",2024K4,16484
S11 Icke-finansiella bolag,"D31.REC Produktsubventioner, tillgång",2024K1,..
S11 Icke-finansiella bolag,"D31.REC Produktsubventioner, tillgång",2024K2,..
S11 Icke-finansiella bolag,"D31.REC Produktsubventioner, tillgång",2024K3,..
S11 Icke-finansiella bolag,"D31.REC Produktsubventioner, tillgång",2024K4,..
S11 Icke-finansiella bolag,"D39.REC Övriga produktionssubventioner, tillgång",2024K1,13460
S11 Icke-finansiella bolag,"D39.REC Övriga produktionssubventioner, tillgång",2024K2,10706
S11 Icke-finansiella bolag,"D39.REC Övriga produktionssubventioner, tillgång",2024K3,10299
S11 Icke-finansiella bolag,"D39.REC Övriga produktionssubventioner, tillgång",2024K4,16484
S11 Icke-finansiella bolag,"D1.PAY Ersättningar till anställda, användning ",2024K1,500644
S11 Icke-finansiella bolag,"D1.PAY Ersättningar till anställda, användning ",2024K2,533673
S11 Icke-finansiella bolag,"D1.PAY Ersättningar till anställda, användning ",2024K3,526771
S11 Icke-finansiella bolag,"D1.PAY Ersättningar till anställda, användning ",2024K4,517498
S11 Icke-finansiella bolag,"D11.PAY Egentlig lön, användning",2024K1,414487
S11 Icke-finansiella bolag,"D11.PAY Egentlig lön, användning",2024K2,443190
S11 Icke-finansiella bolag,"D11.PAY Egentlig lön, användning",2024K3,434445
S11 Icke-finansiella bolag,"D11.PAY Egentlig lön, användning",2024K4,428122
S11 Icke-finansiella bolag,"D12.PAY Arbetsgivares sociala avgifter, användning",2024K1,86157
S11 Icke-finansiella bolag,"D12.PAY Arbetsgivares sociala avgifter, användning",2024K2,90483
S11 Icke-finansiella bolag,"D12.PAY Arbetsgivares sociala avgifter, användning",2024K3,92326
S11 Icke-finansiella bolag,"D12.PAY Arbetsgivares sociala avgifter, användning",2024K4,89376
