region,typ av fastighet,ägarkategori,"år, oregelb",tabellinnehåll,"Allmän fastighetstaxering. Taxeringsenheter, totalt taxeringsvärde och areal"
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",allmännyttigt bostadsföretag,2024,"Areal, kvkm",0.04
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",bostadsrättsförening,2024,Taxeringsenheter,5
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",bostadsrättsförening,2024,"Totalt taxeringsvärde, miljoner kr",6
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",bostadsrättsförening,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",ekonomisk förening utom BRF,2024,Taxeringsenheter,20
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",ekonomisk förening utom BRF,2024,"Totalt taxeringsvärde, miljoner kr",20
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",ekonomisk förening utom BRF,2024,"Areal, kvkm",0.14
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",övrigt svenskt AB,2024,Taxeringsenheter,877
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",övrigt svenskt AB,2024,"Totalt taxeringsvärde, miljoner kr",502
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",övrigt svenskt AB,2024,"Areal, kvkm",3.16
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",övriga juridiska personer,2024,Taxeringsenheter,43
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",övriga juridiska personer,2024,"Totalt taxeringsvärde, miljoner kr",19
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",övriga juridiska personer,2024,"Areal, kvkm",0.23
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",okänd,2024,Taxeringsenheter,3994
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",okänd,2024,"Totalt taxeringsvärde, miljoner kr",727
00 Riket,"Småhusenhet, byggnadsvärde under 50 000 kr",okänd,2024,"Areal, kvkm",15.08
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",fysisk person,2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",fysisk person,2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",fysisk person,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",dödsbo,2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",dödsbo,2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",dödsbo,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",stat,2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",stat,2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",stat,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj","kommun, landsting",2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj","kommun, landsting",2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj","kommun, landsting",2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",allmännyttigt bostadsföretag,2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",allmännyttigt bostadsföretag,2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",allmännyttigt bostadsföretag,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",bostadsrättsförening,2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",bostadsrättsförening,2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",bostadsrättsförening,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",ekonomisk förening utom BRF,2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",ekonomisk förening utom BRF,2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",ekonomisk förening utom BRF,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",övrigt svenskt AB,2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",övrigt svenskt AB,2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",övrigt svenskt AB,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",övriga juridiska personer,2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",övriga juridiska personer,2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",övriga juridiska personer,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",okänd,2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",okänd,2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet, flera småhus, bostäder för mer än 2 familj",okänd,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",fysisk person,2024,Taxeringsenheter,2574
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",fysisk person,2024,"Totalt taxeringsvärde, miljoner kr",6216
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",fysisk person,2024,"Areal, kvkm",6.43
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",dödsbo,2024,Taxeringsenheter,35
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",dödsbo,2024,"Totalt taxeringsvärde, miljoner kr",78
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",dödsbo,2024,"Areal, kvkm",0.08
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",stat,2024,Taxeringsenheter,2
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",stat,2024,"Totalt taxeringsvärde, miljoner kr",5
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",stat,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler","kommun, landsting",2024,Taxeringsenheter,23
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler","kommun, landsting",2024,"Totalt taxeringsvärde, miljoner kr",66
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler","kommun, landsting",2024,"Areal, kvkm",0.06
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",allmännyttigt bostadsföretag,2024,Taxeringsenheter,10
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",allmännyttigt bostadsföretag,2024,"Totalt taxeringsvärde, miljoner kr",23
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",allmännyttigt bostadsföretag,2024,"Areal, kvkm",0.02
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",bostadsrättsförening,2024,Taxeringsenheter,4
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",bostadsrättsförening,2024,"Totalt taxeringsvärde, miljoner kr",80
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",bostadsrättsförening,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",ekonomisk förening utom BRF,2024,Taxeringsenheter,6
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",ekonomisk förening utom BRF,2024,"Totalt taxeringsvärde, miljoner kr",11
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",ekonomisk förening utom BRF,2024,"Areal, kvkm",0.03
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",övrigt svenskt AB,2024,Taxeringsenheter,341
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",övrigt svenskt AB,2024,"Totalt taxeringsvärde, miljoner kr",1023
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",övrigt svenskt AB,2024,"Areal, kvkm",0.80
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",övriga juridiska personer,2024,Taxeringsenheter,5
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",övriga juridiska personer,2024,"Totalt taxeringsvärde, miljoner kr",17
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",övriga juridiska personer,2024,"Areal, kvkm",0.01
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",okänd,2024,Taxeringsenheter,106
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",okänd,2024,"Totalt taxeringsvärde, miljoner kr",236
00 Riket,"Småhusenhet, bostadsbyggnad med lokaler",okänd,2024,"Areal, kvkm",0.47
00 Riket,"Småhusenhet, småhus på ofri grund",fysisk person,2024,Taxeringsenheter,37047
00 Riket,"Småhusenhet, småhus på ofri grund",fysisk person,2024,"Totalt taxeringsvärde, miljoner kr",23402
00 Riket,"Småhusenhet, småhus på ofri grund",fysisk person,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, småhus på ofri grund",dödsbo,2024,Taxeringsenheter,839
00 Riket,"Småhusenhet, småhus på ofri grund",dödsbo,2024,"Totalt taxeringsvärde, miljoner kr",440
00 Riket,"Småhusenhet, småhus på ofri grund",dödsbo,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, småhus på ofri grund",stat,2024,Taxeringsenheter,9
00 Riket,"Småhusenhet, småhus på ofri grund",stat,2024,"Totalt taxeringsvärde, miljoner kr",18
00 Riket,"Småhusenhet, småhus på ofri grund",stat,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, småhus på ofri grund","kommun, landsting",2024,Taxeringsenheter,18
00 Riket,"Småhusenhet, småhus på ofri grund","kommun, landsting",2024,"Totalt taxeringsvärde, miljoner kr",9
00 Riket,"Småhusenhet, småhus på ofri grund","kommun, landsting",2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, småhus på ofri grund",allmännyttigt bostadsföretag,2024,Taxeringsenheter,7
00 Riket,"Småhusenhet, småhus på ofri grund",allmännyttigt bostadsföretag,2024,"Totalt taxeringsvärde, miljoner kr",40
00 Riket,"Småhusenhet, småhus på ofri grund",allmännyttigt bostadsföretag,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, småhus på ofri grund",bostadsrättsförening,2024,Taxeringsenheter,13
00 Riket,"Småhusenhet, småhus på ofri grund",bostadsrättsförening,2024,"Totalt taxeringsvärde, miljoner kr",113
00 Riket,"Småhusenhet, småhus på ofri grund",bostadsrättsförening,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, småhus på ofri grund",ekonomisk förening utom BRF,2024,Taxeringsenheter,9
00 Riket,"Småhusenhet, småhus på ofri grund",ekonomisk förening utom BRF,2024,"Totalt taxeringsvärde, miljoner kr",10
00 Riket,"Småhusenhet, småhus på ofri grund",ekonomisk förening utom BRF,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, småhus på ofri grund",övrigt svenskt AB,2024,Taxeringsenheter,235
00 Riket,"Småhusenhet, småhus på ofri grund",övrigt svenskt AB,2024,"Totalt taxeringsvärde, miljoner kr",669
00 Riket,"Småhusenhet, småhus på ofri grund",övrigt svenskt AB,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, småhus på ofri grund",övriga juridiska personer,2024,Taxeringsenheter,12
00 Riket,"Småhusenhet, småhus på ofri grund",övriga juridiska personer,2024,"Totalt taxeringsvärde, miljoner kr",11
00 Riket,"Småhusenhet, småhus på ofri grund",övriga juridiska personer,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, småhus på ofri grund",okänd,2024,Taxeringsenheter,722
00 Riket,"Småhusenhet, småhus på ofri grund",okänd,2024,"Totalt taxeringsvärde, miljoner kr",430
00 Riket,"Småhusenhet, småhus på ofri grund",okänd,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",fysisk person,2024,Taxeringsenheter,319
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",fysisk person,2024,"Totalt taxeringsvärde, miljoner kr",1418
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",fysisk person,2024,"Areal, kvkm",1.17
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",dödsbo,2024,Taxeringsenheter,1
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",dödsbo,2024,"Totalt taxeringsvärde, miljoner kr",6
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",dödsbo,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",stat,2024,Taxeringsenheter,0
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",stat,2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",stat,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL","kommun, landsting",2024,Taxeringsenheter,86
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL","kommun, landsting",2024,"Totalt taxeringsvärde, miljoner kr",722
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL","kommun, landsting",2024,"Areal, kvkm",1.27
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",allmännyttigt bostadsföretag,2024,Taxeringsenheter,1325
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",allmännyttigt bostadsföretag,2024,"Totalt taxeringsvärde, miljoner kr",28658
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",allmännyttigt bostadsföretag,2024,"Areal, kvkm",10.49
