"användning","år","tabellinnehåll","BNP från användningssidan (ENS2010), försörjningsbalans"
"näringslivets fasta bruttoinv","2023","Prisförändring, procent",4.8
"näringslivets fasta bruttoinv","2023","Volymförändring, procent",-1.4
"näringslivets fasta bruttoinv","2024","Löpande priser, mnkr",1257790
"näringslivets fasta bruttoinv","2024","Fasta priser referensår 2020, mnkr",1041714
"näringslivets fasta bruttoinv","2024","Prisförändring, procent",2.8
"näringslivets fasta bruttoinv","2024","Volymförändring, procent",-1.6
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1980","Löpande priser, mnkr",637
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1980","Fasta priser referensår 2020, mnkr",2540
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1980","Prisförändring, procent",..
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1980","Volymförändring, procent",..
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1981","Löpande priser, mnkr",749
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1981","Fasta priser referensår 2020, mnkr",2695
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1981","Prisförändring, procent",10.8
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1981","Volymförändring, procent",6.1
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1982","Löpande priser, mnkr",814
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1982","Fasta priser referensår 2020, mnkr",2742
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1982","Prisförändring, procent",6.8
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1982","Volymförändring, procent",1.7
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1983","Löpande priser, mnkr",903
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1983","Fasta priser referensår 2020, mnkr",2846
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1983","Prisförändring, procent",6.9
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1983","Volymförändring, procent",3.8
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1984","Löpande priser, mnkr",957
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1984","Fasta priser referensår 2020, mnkr",2900
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1984","Prisförändring, procent",4.0
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1984","Volymförändring, procent",1.9
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1985","Löpande priser, mnkr",1024
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1985","Fasta priser referensår 2020, mnkr",2924
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1985","Prisförändring, procent",6.1
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1985","Volymförändring, procent",0.8
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1986","Löpande priser, mnkr",1120
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1986","Fasta priser referensår 2020, mnkr",3072
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1986","Prisförändring, procent",4.1
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1986","Volymförändring, procent",5.1
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1987","Löpande priser, mnkr",1240
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1987","Fasta priser referensår 2020, mnkr",3209
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1987","Prisförändring, procent",6.0
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1987","Volymförändring, procent",4.5
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1988","Löpande priser, mnkr",1359
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1988","Fasta priser referensår 2020, mnkr",3305
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1988","Prisförändring, procent",6.4
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1988","Volymförändring, procent",3.0
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1989","Löpande priser, mnkr",1516
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1989","Fasta priser referensår 2020, mnkr",3424
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1989","Prisförändring, procent",7.7
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1989","Volymförändring, procent",3.6
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1990","Löpande priser, mnkr",1739
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1990","Fasta priser referensår 2020, mnkr",3546
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1990","Prisförändring, procent",10.8
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1990","Volymförändring, procent",3.6
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1991","Löpande priser, mnkr",1947
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1991","Fasta priser referensår 2020, mnkr",3732
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1991","Prisförändring, procent",6.4
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1991","Volymförändring, procent",5.2
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1992","Löpande priser, mnkr",2041
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1992","Fasta priser referensår 2020, mnkr",3786
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1992","Prisförändring, procent",3.3
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1992","Volymförändring, procent",1.4
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1993","Löpande priser, mnkr",2597
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1993","Fasta priser referensår 2020, mnkr",4467
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1993","Prisförändring, procent",7.8
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1993","Volymförändring, procent",18.0
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1994","Löpande priser, mnkr",2049
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1994","Fasta priser referensår 2020, mnkr",3557
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1994","Prisförändring, procent",-0.9
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1994","Volymförändring, procent",-20.4
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1995","Löpande priser, mnkr",2231
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1995","Fasta priser referensår 2020, mnkr",3906
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1995","Prisförändring, procent",-0.8
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1995","Volymförändring, procent",9.8
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1996","Löpande priser, mnkr",1875
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1996","Fasta priser referensår 2020, mnkr",3218
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1996","Prisförändring, procent",2.0
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1996","Volymförändring, procent",-17.6
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1997","Löpande priser, mnkr",1971
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1997","Fasta priser referensår 2020, mnkr",3233
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1997","Prisförändring, procent",4.6
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1997","Volymförändring, procent",0.5
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1998","Löpande priser, mnkr",1967
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1998","Fasta priser referensår 2020, mnkr",3156
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1998","Prisförändring, procent",2.2
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1998","Volymförändring, procent",-2.4
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1999","Löpande priser, mnkr",2028
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1999","Fasta priser referensår 2020, mnkr",3161
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1999","Prisförändring, procent",2.9
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","1999","Volymförändring, procent",0.2
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2000","Löpande priser, mnkr",3566
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2000","Fasta priser referensår 2020, mnkr",5402
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2000","Prisförändring, procent",2.9
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2000","Volymförändring, procent",70.9
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2001","Löpande priser, mnkr",3786
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2001","Fasta priser referensår 2020, mnkr",5493
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2001","Prisförändring, procent",4.4
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2001","Volymförändring, procent",1.7
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2002","Löpande priser, mnkr",3654
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2002","Fasta priser referensår 2020, mnkr",5161
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2002","Prisförändring, procent",2.7
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2002","Volymförändring, procent",-6.0
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2003","Löpande priser, mnkr",3560
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2003","Fasta priser referensår 2020, mnkr",4969
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2003","Prisförändring, procent",1.2
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2003","Volymförändring, procent",-3.7
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2004","Löpande priser, mnkr",3572
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2004","Fasta priser referensår 2020, mnkr",4909
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2004","Prisförändring, procent",1.6
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2004","Volymförändring, procent",-1.2
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2005","Löpande priser, mnkr",3593
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2005","Fasta priser referensår 2020, mnkr",4871
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2005","Prisförändring, procent",1.4
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2005","Volymförändring, procent",-0.8
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2006","Löpande priser, mnkr",3704
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2006","Fasta priser referensår 2020, mnkr",4941
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2006","Prisförändring, procent",1.6
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2006","Volymförändring, procent",1.4
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2007","Löpande priser, mnkr",3859
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2007","Fasta priser referensår 2020, mnkr",4977
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2007","Prisförändring, procent",3.4
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2007","Volymförändring, procent",0.7
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2008","Löpande priser, mnkr",4117
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2008","Fasta priser referensår 2020, mnkr",5043
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2008","Prisförändring, procent",5.3
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2008","Volymförändring, procent",1.3
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2009","Löpande priser, mnkr",3667
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2009","Fasta priser referensår 2020, mnkr",4369
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2009","Prisförändring, procent",2.8
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2009","Volymförändring, procent",-13.4
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2010","Löpande priser, mnkr",3790
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2010","Fasta priser referensår 2020, mnkr",4485
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2010","Prisförändring, procent",0.7
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2010","Volymförändring, procent",2.7
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2011","Löpande priser, mnkr",3775
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2011","Fasta priser referensår 2020, mnkr",4396
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2011","Prisförändring, procent",1.6
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2011","Volymförändring, procent",-2.0
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2012","Löpande priser, mnkr",4114
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2012","Fasta priser referensår 2020, mnkr",4714
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2012","Prisförändring, procent",1.6
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2012","Volymförändring, procent",7.2
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2013","Löpande priser, mnkr",4917
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2013","Fasta priser referensår 2020, mnkr",5638
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2013","Prisförändring, procent",-0.1
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2013","Volymförändring, procent",19.6
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2014","Löpande priser, mnkr",5149
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2014","Fasta priser referensår 2020, mnkr",5748
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2014","Prisförändring, procent",2.7
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2014","Volymförändring, procent",2.0
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2015","Löpande priser, mnkr",4969
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2015","Fasta priser referensår 2020, mnkr",5424
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2015","Prisförändring, procent",2.3
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2015","Volymförändring, procent",-5.6
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2016","Löpande priser, mnkr",5202
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2016","Fasta priser referensår 2020, mnkr",5612
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2016","Prisförändring, procent",1.2
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2016","Volymförändring, procent",3.5
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2017","Löpande priser, mnkr",5610
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2017","Fasta priser referensår 2020, mnkr",5934
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2017","Prisförändring, procent",2.0
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2017","Volymförändring, procent",5.7
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2018","Löpande priser, mnkr",5013
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2018","Fasta priser referensår 2020, mnkr",5164
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2018","Prisförändring, procent",2.7
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2018","Volymförändring, procent",-13.0
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2019","Löpande priser, mnkr",5168
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2019","Fasta priser referensår 2020, mnkr",5209
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2019","Prisförändring, procent",2.2
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2019","Volymförändring, procent",0.9
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2020","Löpande priser, mnkr",5745
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2020","Fasta priser referensår 2020, mnkr",5745
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2020","Prisförändring, procent",0.8
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2020","Volymförändring, procent",10.3
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2021","Löpande priser, mnkr",7310
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2021","Fasta priser referensår 2020, mnkr",7024
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2021","Prisförändring, procent",4.1
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2021","Volymförändring, procent",22.3
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2022","Löpande priser, mnkr",5029
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2022","Fasta priser referensår 2020, mnkr",4416
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2022","Prisförändring, procent",9.4
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2022","Volymförändring, procent",-37.1
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2023","Löpande priser, mnkr",5678
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2023","Fasta priser referensår 2020, mnkr",4744
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2023","Prisförändring, procent",5.1
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2023","Volymförändring, procent",7.4
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2024","Löpande priser, mnkr",7939
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2024","Fasta priser referensår 2020, mnkr",6397
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2024","Prisförändring, procent",3.7
"hushållens icke-vinstdrivande organisationer fasta bruttoinv","2024","Volymförändring, procent",34.8
"statliga myndigheters fasta bruttoinv","1980","Löpande priser, mnkr",13322
"statliga myndigheters fasta bruttoinv","1980","Fasta priser referensår 2020, mnkr",45757
"statliga myndigheters fasta bruttoinv","1980","Prisförändring, procent",..
"statliga myndigheters fasta bruttoinv","1980","Volymförändring, procent",..
"statliga myndigheters fasta bruttoinv","1981","Löpande priser, mnkr",14831
"statliga myndigheters fasta bruttoinv","1981","Fasta priser referensår 2020, mnkr",46502
"statliga myndigheters fasta bruttoinv","1981","Prisförändring, procent",9.5
"statliga myndigheters fasta bruttoinv","1981","Volymförändring, procent",1.6
"statliga myndigheters fasta bruttoinv","1982","Löpande priser, mnkr",16210
"statliga myndigheters fasta bruttoinv","1982","Fasta priser referensår 2020, mnkr",46922
"statliga myndigheters fasta bruttoinv","1982","Prisförändring, procent",8.3
"statliga myndigheters fasta bruttoinv","1982","Volymförändring, procent",0.9
"statliga myndigheters fasta bruttoinv","1983","Löpande priser, mnkr",18012
"statliga myndigheters fasta bruttoinv","1983","Fasta priser referensår 2020, mnkr",47243
"statliga myndigheters fasta bruttoinv","1983","Prisförändring, procent",10.4
"statliga myndigheters fasta bruttoinv","1983","Volymförändring, procent",0.7
"statliga myndigheters fasta bruttoinv","1984","Löpande priser, mnkr",20090
"statliga myndigheters fasta bruttoinv","1984","Fasta priser referensår 2020, mnkr",49391
"statliga myndigheters fasta bruttoinv","1984","Prisförändring, procent",6.7
"statliga myndigheters fasta bruttoinv","1984","Volymförändring, procent",4.5
"statliga myndigheters fasta bruttoinv","1985","Löpande priser, mnkr",21597
"statliga myndigheters fasta bruttoinv","1985","Fasta priser referensår 2020, mnkr",50478
"statliga myndigheters fasta bruttoinv","1985","Prisförändring, procent",5.2
"statliga myndigheters fasta bruttoinv","1985","Volymförändring, procent",2.2
"statliga myndigheters fasta bruttoinv","1986","Löpande priser, mnkr",23107
"statliga myndigheters fasta bruttoinv","1986","Fasta priser referensår 2020, mnkr",51146
"statliga myndigheters fasta bruttoinv","1986","Prisförändring, procent",5.6
"statliga myndigheters fasta bruttoinv","1986","Volymförändring, procent",1.3
"statliga myndigheters fasta bruttoinv","1987","Löpande priser, mnkr",25518
"statliga myndigheters fasta bruttoinv","1987","Fasta priser referensår 2020, mnkr",54406
"statliga myndigheters fasta bruttoinv","1987","Prisförändring, procent",3.8
"statliga myndigheters fasta bruttoinv","1987","Volymförändring, procent",6.4
"statliga myndigheters fasta bruttoinv","1988","Löpande priser, mnkr",27914
"statliga myndigheters fasta bruttoinv","1988","Fasta priser referensår 2020, mnkr",56538
"statliga myndigheters fasta bruttoinv","1988","Prisförändring, procent",5.3
"statliga myndigheters fasta bruttoinv","1988","Volymförändring, procent",3.9
"statliga myndigheters fasta bruttoinv","1989","Löpande priser, mnkr",34520
"statliga myndigheters fasta bruttoinv","1989","Fasta priser referensår 2020, mnkr",65930
"statliga myndigheters fasta bruttoinv","1989","Prisförändring, procent",6.0
"statliga myndigheters fasta bruttoinv","1989","Volymförändring, procent",16.6
"statliga myndigheters fasta bruttoinv","1990","Löpande priser, mnkr",38308
"statliga myndigheters fasta bruttoinv","1990","Fasta priser referensår 2020, mnkr",69060
"statliga myndigheters fasta bruttoinv","1990","Prisförändring, procent",5.9
"statliga myndigheters fasta bruttoinv","1990","Volymförändring, procent",4.7
"statliga myndigheters fasta bruttoinv","1991","Löpande priser, mnkr",43084
"statliga myndigheters fasta bruttoinv","1991","Fasta priser referensår 2020, mnkr",70390
"statliga myndigheters fasta bruttoinv","1991","Prisförändring, procent",10.3
"statliga myndigheters fasta bruttoinv","1991","Volymförändring, procent",1.9
"statliga myndigheters fasta bruttoinv","1992","Löpande priser, mnkr",44884
"statliga myndigheters fasta bruttoinv","1992","Fasta priser referensår 2020, mnkr",75246
"statliga myndigheters fasta bruttoinv","1992","Prisförändring, procent",-2.5
"statliga myndigheters fasta bruttoinv","1992","Volymförändring, procent",6.9
"statliga myndigheters fasta bruttoinv","1993","Löpande priser, mnkr",52691
"statliga myndigheters fasta bruttoinv","1993","Fasta priser referensår 2020, mnkr",84989
"statliga myndigheters fasta bruttoinv","1993","Prisförändring, procent",3.9
"statliga myndigheters fasta bruttoinv","1993","Volymförändring, procent",12.9
"statliga myndigheters fasta bruttoinv","1994","Löpande priser, mnkr",60169
"statliga myndigheters fasta bruttoinv","1994","Fasta priser referensår 2020, mnkr",97311
"statliga myndigheters fasta bruttoinv","1994","Prisförändring, procent",-0.3
"statliga myndigheters fasta bruttoinv","1994","Volymförändring, procent",14.5
"statliga myndigheters fasta bruttoinv","1995","Löpande priser, mnkr",57552
"statliga myndigheters fasta bruttoinv","1995","Fasta priser referensår 2020, mnkr",90357
"statliga myndigheters fasta bruttoinv","1995","Prisförändring, procent",3.0
"statliga myndigheters fasta bruttoinv","1995","Volymförändring, procent",-7.1
"statliga myndigheters fasta bruttoinv","1996","Löpande priser, mnkr",58913
"statliga myndigheters fasta bruttoinv","1996","Fasta priser referensår 2020, mnkr",92020
"statliga myndigheters fasta bruttoinv","1996","Prisförändring, procent",0.5
"statliga myndigheters fasta bruttoinv","1996","Volymförändring, procent",1.8
"statliga myndigheters fasta bruttoinv","1997","Löpande priser, mnkr",52634
"statliga myndigheters fasta bruttoinv","1997","Fasta priser referensår 2020, mnkr",82872
"statliga myndigheters fasta bruttoinv","1997","Prisförändring, procent",-0.8
"statliga myndigheters fasta bruttoinv","1997","Volymförändring, procent",-9.9
"statliga myndigheters fasta bruttoinv","1998","Löpande priser, mnkr",57114
"statliga myndigheters fasta bruttoinv","1998","Fasta priser referensår 2020, mnkr",88990
"statliga myndigheters fasta bruttoinv","1998","Prisförändring, procent",1.1
"statliga myndigheters fasta bruttoinv","1998","Volymförändring, procent",7.4
"statliga myndigheters fasta bruttoinv","1999","Löpande priser, mnkr",61399
"statliga myndigheters fasta bruttoinv","1999","Fasta priser referensår 2020, mnkr",93521
"statliga myndigheters fasta bruttoinv","1999","Prisförändring, procent",2.3
"statliga myndigheters fasta bruttoinv","1999","Volymförändring, procent",5.1
"statliga myndigheters fasta bruttoinv","2000","Löpande priser, mnkr",57425
"statliga myndigheters fasta bruttoinv","2000","Fasta priser referensår 2020, mnkr",83750
"statliga myndigheters fasta bruttoinv","2000","Prisförändring, procent",4.4
"statliga myndigheters fasta bruttoinv","2000","Volymförändring, procent",-10.4
"statliga myndigheters fasta bruttoinv","2001","Löpande priser, mnkr",61953
"statliga myndigheters fasta bruttoinv","2001","Fasta priser referensår 2020, mnkr",87072
"statliga myndigheters fasta bruttoinv","2001","Prisförändring, procent",3.8
"statliga myndigheters fasta bruttoinv","2001","Volymförändring, procent",4.0
"statliga myndigheters fasta bruttoinv","2002","Löpande priser, mnkr",67365
"statliga myndigheters fasta bruttoinv","2002","Fasta priser referensår 2020, mnkr",91981
"statliga myndigheters fasta bruttoinv","2002","Prisförändring, procent",2.9
"statliga myndigheters fasta bruttoinv","2002","Volymförändring, procent",5.6
"statliga myndigheters fasta bruttoinv","2003","Löpande priser, mnkr",69639
"statliga myndigheters fasta bruttoinv","2003","Fasta priser referensår 2020, mnkr",94398
"statliga myndigheters fasta bruttoinv","2003","Prisförändring, procent",0.7
"statliga myndigheters fasta bruttoinv","2003","Volymförändring, procent",2.6
"statliga myndigheters fasta bruttoinv","2004","Löpande priser, mnkr",73578
"statliga myndigheters fasta bruttoinv","2004","Fasta priser referensår 2020, mnkr",98473
"statliga myndigheters fasta bruttoinv","2004","Prisförändring, procent",1.3
"statliga myndigheters fasta bruttoinv","2004","Volymförändring, procent",4.3
"statliga myndigheters fasta bruttoinv","2005","Löpande priser, mnkr",64630
"statliga myndigheters fasta bruttoinv","2005","Fasta priser referensår 2020, mnkr",84705
"statliga myndigheters fasta bruttoinv","2005","Prisförändring, procent",2.1
"statliga myndigheters fasta bruttoinv","2005","Volymförändring, procent",-14.0
"statliga myndigheters fasta bruttoinv","2006","Löpande priser, mnkr",73076
"statliga myndigheters fasta bruttoinv","2006","Fasta priser referensår 2020, mnkr",93013
"statliga myndigheters fasta bruttoinv","2006","Prisförändring, procent",3.0
"statliga myndigheters fasta bruttoinv","2006","Volymförändring, procent",9.8
"statliga myndigheters fasta bruttoinv","2007","Löpande priser, mnkr",75893
"statliga myndigheters fasta bruttoinv","2007","Fasta priser referensår 2020, mnkr",94030
"statliga myndigheters fasta bruttoinv","2007","Prisförändring, procent",2.7
"statliga myndigheters fasta bruttoinv","2007","Volymförändring, procent",1.1
"statliga myndigheters fasta bruttoinv","2008","Löpande priser, mnkr",83829
"statliga myndigheters fasta bruttoinv","2008","Fasta priser referensår 2020, mnkr",98596
"statliga myndigheters fasta bruttoinv","2008","Prisförändring, procent",5.3
"statliga myndigheters fasta bruttoinv","2008","Volymförändring, procent",4.9
"statliga myndigheters fasta bruttoinv","2009","Löpande priser, mnkr",85666
"statliga myndigheters fasta bruttoinv","2009","Fasta priser referensår 2020, mnkr",99373
"statliga myndigheters fasta bruttoinv","2009","Prisförändring, procent",1.4
"statliga myndigheters fasta bruttoinv","2009","Volymförändring, procent",0.8
"statliga myndigheters fasta bruttoinv","2010","Löpande priser, mnkr",93199
"statliga myndigheters fasta bruttoinv","2010","Fasta priser referensår 2020, mnkr",107207
"statliga myndigheters fasta bruttoinv","2010","Prisförändring, procent",0.8
"statliga myndigheters fasta bruttoinv","2010","Volymförändring, procent",7.9
"statliga myndigheters fasta bruttoinv","2011","Löpande priser, mnkr",91945
"statliga myndigheters fasta bruttoinv","2011","Fasta priser referensår 2020, mnkr",104865
"statliga myndigheters fasta bruttoinv","2011","Prisförändring, procent",0.9
"statliga myndigheters fasta bruttoinv","2011","Volymförändring, procent",-2.2
"statliga myndigheters fasta bruttoinv","2012","Löpande priser, mnkr",93264
"statliga myndigheters fasta bruttoinv","2012","Fasta priser referensår 2020, mnkr",104442
"statliga myndigheters fasta bruttoinv","2012","Prisförändring, procent",1.8
"statliga myndigheters fasta bruttoinv","2012","Volymförändring, procent",-0.4
"statliga myndigheters fasta bruttoinv","2013","Löpande priser, mnkr",90479
"statliga myndigheters fasta bruttoinv","2013","Fasta priser referensår 2020, mnkr",101398
