region,typ av fastighet,ägarkategori,"år, oregelb",tabellinnehåll,"Allmän och förenklad fastighetstaxering. Taxeringsenheter, totalt taxerings-/basvärde och areal"
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",bank och försäkringsbolag,2025,"Areal, kvkm",..
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",övrigt svenskt AB,2025,Taxeringsenheter,134
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",övrigt svenskt AB,2025,"Totalt taxerings-/basvärde, miljoner kr",2079
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",övrigt svenskt AB,2025,"Areal, kvkm",0.72
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",stiftelser (ej familjestiftelser),2025,Taxeringsenheter,2
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",stiftelser (ej familjestiftelser),2025,"Totalt taxerings-/basvärde, miljoner kr",0
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",stiftelser (ej familjestiftelser),2025,"Areal, kvkm",0.01
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",dödsbo,2025,Taxeringsenheter,1
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",dödsbo,2025,"Totalt taxerings-/basvärde, miljoner kr",0
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",dödsbo,2025,"Areal, kvkm",0.00
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",övriga,2025,Taxeringsenheter,6
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",övriga,2025,"Totalt taxerings-/basvärde, miljoner kr",51
00 Riket,"311 Hyreshusenhet, med saneringsbyggnad",övriga,2025,"Areal, kvkm",0.09
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",fysisk person,2025,Taxeringsenheter,735
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",fysisk person,2025,"Totalt taxerings-/basvärde, miljoner kr",60
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",fysisk person,2025,"Areal, kvkm",2.43
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",stat,2025,Taxeringsenheter,1
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",stat,2025,"Totalt taxerings-/basvärde, miljoner kr",0
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",stat,2025,"Areal, kvkm",0.00
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr","kommun, region",2025,Taxeringsenheter,135
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr","kommun, region",2025,"Totalt taxerings-/basvärde, miljoner kr",75
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr","kommun, region",2025,"Areal, kvkm",0.82
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",Svenska kyrkan,2025,Taxeringsenheter,3
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",Svenska kyrkan,2025,"Totalt taxerings-/basvärde, miljoner kr",6
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",Svenska kyrkan,2025,"Areal, kvkm",0.00
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",allmännyttigt bostadsföretag,2025,Taxeringsenheter,22
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",allmännyttigt bostadsföretag,2025,"Totalt taxerings-/basvärde, miljoner kr",20
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",allmännyttigt bostadsföretag,2025,"Areal, kvkm",0.13
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",bostadsrättsförening,2025,Taxeringsenheter,5
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",bostadsrättsförening,2025,"Totalt taxerings-/basvärde, miljoner kr",72
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",bostadsrättsförening,2025,"Areal, kvkm",0.01
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",ekonomisk förening utom BRF,2025,Taxeringsenheter,24
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",ekonomisk förening utom BRF,2025,"Totalt taxerings-/basvärde, miljoner kr",2
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",ekonomisk förening utom BRF,2025,"Areal, kvkm",0.09
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",bank och försäkringsbolag,2025,Taxeringsenheter,..
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",bank och försäkringsbolag,2025,"Totalt taxerings-/basvärde, miljoner kr",..
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",bank och försäkringsbolag,2025,"Areal, kvkm",..
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",övrigt svenskt AB,2025,Taxeringsenheter,361
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",övrigt svenskt AB,2025,"Totalt taxerings-/basvärde, miljoner kr",254
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",övrigt svenskt AB,2025,"Areal, kvkm",2.44
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",stiftelser (ej familjestiftelser),2025,Taxeringsenheter,4
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",stiftelser (ej familjestiftelser),2025,"Totalt taxerings-/basvärde, miljoner kr",0
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",stiftelser (ej familjestiftelser),2025,"Areal, kvkm",0.01
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",dödsbo,2025,Taxeringsenheter,18
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",dödsbo,2025,"Totalt taxerings-/basvärde, miljoner kr",2
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",dödsbo,2025,"Areal, kvkm",0.07
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",övriga,2025,Taxeringsenheter,160
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",övriga,2025,"Totalt taxerings-/basvärde, miljoner kr",15
00 Riket,"313 Hyreshusenhet, byggnadsvärde under 50 000 kr",övriga,2025,"Areal, kvkm",1.22
00 Riket,"320 Hyreshusenhet, bostäder",fysisk person,2025,Taxeringsenheter,8844
00 Riket,"320 Hyreshusenhet, bostäder",fysisk person,2025,"Totalt taxerings-/basvärde, miljoner kr",47490
00 Riket,"320 Hyreshusenhet, bostäder",fysisk person,2025,"Areal, kvkm",14.45
00 Riket,"320 Hyreshusenhet, bostäder",stat,2025,Taxeringsenheter,27
00 Riket,"320 Hyreshusenhet, bostäder",stat,2025,"Totalt taxerings-/basvärde, miljoner kr",176
00 Riket,"320 Hyreshusenhet, bostäder",stat,2025,"Areal, kvkm",0.05
00 Riket,"320 Hyreshusenhet, bostäder","kommun, region",2025,Taxeringsenheter,206
00 Riket,"320 Hyreshusenhet, bostäder","kommun, region",2025,"Totalt taxerings-/basvärde, miljoner kr",2445
00 Riket,"320 Hyreshusenhet, bostäder","kommun, region",2025,"Areal, kvkm",1.05
00 Riket,"320 Hyreshusenhet, bostäder",Svenska kyrkan,2025,Taxeringsenheter,11
00 Riket,"320 Hyreshusenhet, bostäder",Svenska kyrkan,2025,"Totalt taxerings-/basvärde, miljoner kr",54
00 Riket,"320 Hyreshusenhet, bostäder",Svenska kyrkan,2025,"Areal, kvkm",0.04
00 Riket,"320 Hyreshusenhet, bostäder",allmännyttigt bostadsföretag,2025,Taxeringsenheter,4454
00 Riket,"320 Hyreshusenhet, bostäder",allmännyttigt bostadsföretag,2025,"Totalt taxerings-/basvärde, miljoner kr",112242
00 Riket,"320 Hyreshusenhet, bostäder",allmännyttigt bostadsföretag,2025,"Areal, kvkm",21.86
00 Riket,"320 Hyreshusenhet, bostäder",bostadsrättsförening,2025,Taxeringsenheter,11037
00 Riket,"320 Hyreshusenhet, bostäder",bostadsrättsförening,2025,"Totalt taxerings-/basvärde, miljoner kr",422125
00 Riket,"320 Hyreshusenhet, bostäder",bostadsrättsförening,2025,"Areal, kvkm",34.95
00 Riket,"320 Hyreshusenhet, bostäder",ekonomisk förening utom BRF,2025,Taxeringsenheter,184
00 Riket,"320 Hyreshusenhet, bostäder",ekonomisk förening utom BRF,2025,"Totalt taxerings-/basvärde, miljoner kr",8980
00 Riket,"320 Hyreshusenhet, bostäder",ekonomisk förening utom BRF,2025,"Areal, kvkm",0.40
00 Riket,"320 Hyreshusenhet, bostäder",bank och försäkringsbolag,2025,Taxeringsenheter,17
00 Riket,"320 Hyreshusenhet, bostäder",bank och försäkringsbolag,2025,"Totalt taxerings-/basvärde, miljoner kr",659
00 Riket,"320 Hyreshusenhet, bostäder",bank och försäkringsbolag,2025,"Areal, kvkm",0.03
00 Riket,"320 Hyreshusenhet, bostäder",övrigt svenskt AB,2025,Taxeringsenheter,13769
00 Riket,"320 Hyreshusenhet, bostäder",övrigt svenskt AB,2025,"Totalt taxerings-/basvärde, miljoner kr",211218
00 Riket,"320 Hyreshusenhet, bostäder",övrigt svenskt AB,2025,"Areal, kvkm",32.91
00 Riket,"320 Hyreshusenhet, bostäder",stiftelser (ej familjestiftelser),2025,Taxeringsenheter,172
00 Riket,"320 Hyreshusenhet, bostäder",stiftelser (ej familjestiftelser),2025,"Totalt taxerings-/basvärde, miljoner kr",10049
00 Riket,"320 Hyreshusenhet, bostäder",stiftelser (ej familjestiftelser),2025,"Areal, kvkm",0.68
00 Riket,"320 Hyreshusenhet, bostäder",dödsbo,2025,Taxeringsenheter,143
00 Riket,"320 Hyreshusenhet, bostäder",dödsbo,2025,"Totalt taxerings-/basvärde, miljoner kr",1179
00 Riket,"320 Hyreshusenhet, bostäder",dödsbo,2025,"Areal, kvkm",0.24
00 Riket,"320 Hyreshusenhet, bostäder",övriga,2025,Taxeringsenheter,1219
00 Riket,"320 Hyreshusenhet, bostäder",övriga,2025,"Totalt taxerings-/basvärde, miljoner kr",20054
00 Riket,"320 Hyreshusenhet, bostäder",övriga,2025,"Areal, kvkm",3.07
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",fysisk person,2025,Taxeringsenheter,7431
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",fysisk person,2025,"Totalt taxerings-/basvärde, miljoner kr",100217
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",fysisk person,2025,"Areal, kvkm",14.27
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",stat,2025,Taxeringsenheter,36
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",stat,2025,"Totalt taxerings-/basvärde, miljoner kr",2173
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",stat,2025,"Areal, kvkm",1.62
00 Riket,"321 Hyreshusenhet, bostäder och lokaler","kommun, region",2025,Taxeringsenheter,255
